#NSGA2
popsize 100
maxGen 5
numVar 5
numObj 2
numCons 14
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 5
currentGen	1
evaluateCount	100
totalTime	9.60981
firstFrontCount	10
frontCount	31
avgEvalTime	0.0955415
#end
Var1	Var2	Var3	Var4	Var5	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	Cons11	Cons12	Cons13	Cons14	
9669	9026	1605	11	24	0.0101544	81.1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9650	8993	1604	12	24	0.0101543	82.9183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9674	9021	1601	12	24	0.0101543	82.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	9010	1590	13	22	0.0101587	77.5929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9655	8993	1622	15	23	0.0101539	84.7812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9643	9030	1605	11	20	0.010161	76.4309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9662	9030	1627	15	23	0.0101546	80.6716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9635	9012	1594	15	21	0.0101599	77.2125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9635	9004	1603	14	24	0.0101554	78.8871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9645	9017	1590	14	22	0.0101586	77.8195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9637	9007	1589	14	23	0.0101575	77.9732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9657	8999	1618	12	23	0.0101542	83.9709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9631	9006	1614	15	23	0.010156	78.5778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9680	8970	1605	13	23	0.0101536	91.0845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
